"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Herbaceous crops (2,962,700)","Herbaceous crops, boundary tree (91,673)",91673,36619,"Bndry"
"Herbaceous crops (2,962,700)","Herbaceous crops, monoculture (864,210)",864209,109098,"Trad"
"Oil palm (2,401,500)","Oil palm, agrisilviculture (1,241,100)",1241073,129823,"Agrisil"
"Oil palm (2,401,500)","Oil palm, monoculture (1,160,400)",1160433,444395,"Trad"
"Tropical moist deciduous forest (1,172,700)","Oil palm (2,401,500)",336,336,"Palm"
"Tropical mountain system (558,820)","Oil palm (2,401,500)",5048,5048,"Palm"
"Tropical dry forest (754,090)","Oil palm (2,401,500)",1734,1734,"Palm"
"Tropical rainforest (6,164,900)","Oil palm (2,401,500)",1988969,455368,"Palm"
"Tropical rainforest, peatlands (693,200)","Oil palm (2,401,500)",405419,80982,"Palm"
"Tropical rainforest (6,164,900)","Palm crops (176,060)",152265,47273,"Palm"
"Tropical rainforest, peatlands (693,200)","Palm crops (176,060)",23797,17431,"Palm"
"Palm crops (176,060)","Palm crop, agrisilviculture (121,080)",121080,41978,"Agrisil"
"Palm crops (176,060)","Palm crop, monoculture (54,982)",54982,27967,"Trad"
"Tropical moist deciduous forest (1,172,700)","Pulpwood (885,600)",140694,18056,"Tree"
"Tropical rainforest (6,164,900)","Pulpwood (885,600)",609728,72820,"Tree"
"Tropical dry forest (754,090)","Pulpwood (885,600)",30052,8395,"Tree"
"Tropical shrubland (7,827)","Pulpwood (885,600)",3211,2507,"Tree"
"Tropical mountain system (558,820)","Pulpwood (885,600)",101912,29848,"Tree"
"Pulpwood (885,600)","Pulpwood, agrisilviculture (4,049)",4049,2513,"Agrisil"
"Pulpwood (885,600)","Pulpwood, monoculture (881,550)",881548,80811,"Trad"
"Tropical rainforest (6,164,900)","Rice (33,541)",20188,10528,"Herb"
"Tropical moist deciduous forest (1,172,700)","Rice (33,541)",6607,3237,"Herb"
"Tropical dry forest (754,090)","Rice (33,541)",6746,3517,"Herb"
"Rice (33,541)","Rice, monoculture (33,540)",33540,11622,"Trad"
"Tropical dry forest (754,090)","Rubber (706,390)",147007,51975,"Tree"
"Tropical moist deciduous forest (1,172,700)","Rubber (706,390)",209988,21153,"Tree"
"Tropical mountain system (558,820)","Rubber (706,390)",60649,26079,"Tree"
"Tropical rainforest (6,164,900)","Rubber (706,390)",271442,47865,"Tree"
"Tropical rainforest, peatlands (693,200)","Rubber (706,390)",17307,17307,"Tree"
"Rubber (706,390)","Rubber, agrisilviculture (2,840)",2840,1812,"Agrisil"
"Rubber (706,390)","Rubber, boundary tree (996)",996,996,"Bndry"
"Rubber (706,390)","Rubber, monoculture (702,560)",702558,79846,"Trad"
"Tropical shrubland (7,827)","Shrub crops (345,210)",332,332,"Shrub"
"Tropical moist deciduous forest (1,172,700)","Shrub crops (345,210)",19336,7142,"Shrub"
"Tropical mountain system (558,820)","Shrub crops (345,210)",1843,1353,"Shrub"
"Subtropical humid forest (2,651)","Shrub crops (345,210)",196,196,"Shrub"
"Tropical rainforest, peatlands (693,200)","Shrub crops (345,210)",51199,26514,"Shrub"
"Tropical dry forest (754,090)","Shrub crops (345,210)",7345,2986,"Shrub"
"Tropical rainforest (6,164,900)","Shrub crops (345,210)",264962,56451,"Shrub"
"Shrub crops (345,210)","Shrub crop, agrisilviculture (144,180)",144176,36222,"Agrisil"
"Shrub crops (345,210)","Shrub crop, boundary tree (173,000)",172999,50260,"Bndry"
"Shrub crops (345,210)","Shrub crop, monoculture (28,037)",28037,11571,"Trad"
"Tropical moist deciduous forest (1,172,700)","Tea (85,742)",71147,67895,"Shrub"
"Tropical dry forest (754,090)","Tea (85,742)",8528,4092,"Shrub"
"Tropical mountain system (558,820)","Tea (85,742)",4493,3512,"Shrub"
"Subtropical humid forest (2,651)","Tea (85,742)",1473,1473,"Shrub"
"Tropical rainforest (6,164,900)","Tea (85,742)",101,101,"Shrub"
"Tea (85,742)","Tea, agrisilviculture (68,428)",68428,67841,"Agrisil"
"Tea (85,742)","Tea, boundary tree (295)",295,295,"Bndry"
"Tea (85,742)","Tea, monoculture (17,018)",17018,6204,"Trad"
"Tropical rainforest (6,164,900)","Tree crops (1,130,200)",786145,94318,"Tree"
"Subtropical humid forest (2,651)","Tree crops (1,130,200)",687,687,"Tree"
"Tropical rainforest, peatlands (693,200)","Tree crops (1,130,200)",18028,17321,"Tree"
"Tropical mountain system (558,820)","Tree crops (1,130,200)",76213,24090,"Tree"
"Tropical moist deciduous forest (1,172,700)","Tree crops (1,130,200)",152951,54373,"Tree"
"Tropical dry forest (754,090)","Tree crops (1,130,200)",96130,40521,"Tree"
"Tree crops (1,130,200)","Tree crops, agrisilviculture (254,380)",254382,72348,"Agrisil"
"Tree crops (1,130,200)","Tree crops, boundary tree (21,871)",21871,15352,"Bndry"
"Tree crops (1,130,200)","Tree crops, monoculture (853,900)",853902,94678,"Trad"
