X,Y,ID,Dynamics,Notes
103.229875,21.095375,1563,Nonforest,
108.834125,12.183875,1570,Nonforest,
106.217375,21.983875,1582,Nonforest,
106.578625,9.697375,1584,Nonforest,
106.127375,11.704375,1586,Nonforest,
106.025625,20.041875,1588,Nonforest,
107.989625,12.962375,1593,Nonforest,
105.100875,22.820625,1599,Nonforest,
105.666625,21.859125,1603,Nonforest,
106.026125,22.161875,1621,Nonforest,
106.198625,11.119125,1626,Nonforest,
107.597375,12.756625,1639,Nonforest,
103.320625,22.630875,1657,Nonforest,
105.884375,17.760625,1676,Nonforest,
105.705375,10.365125,1678,Nonforest,
104.042125,22.408125,1683,Nonforest,
104.291625,21.579125,1688,Nonforest,
104.896125,20.533375,1700,Nonforest,
105.877625,18.457875,1701,Nonforest,
106.198375,11.600125,1704,Nonforest,
106.361375,9.575125,1706,Nonforest,
105.170125,9.072375,1737,Nonforest,
103.982875,21.039625,1742,Nonforest,
106.035375,18.256125,1769,Nonforest,
105.231875,9.553875,1771,Nonforest,
105.876125,10.309875,1795,Nonforest,
105.335125,20.606625,1799,Nonforest,
105.301375,18.512125,1809,Nonforest,
108.223375,12.241625,1820,Nonforest,
106.231375,20.714625,1822,Nonforest,
105.473125,9.498625,1829,Nonforest,
108.161875,13.821875,1834,Nonforest,
106.138625,11.506625,1846,Nonforest,
103.714625,21.218375,1848,Nonforest,
105.223375,22.901125,1853,Nonforest,
108.092625,14.593125,1861,Nonforest,
107.391375,16.104375,1862,Nonforest,
105.195625,19.669625,1865,Nonforest,
104.450125,22.218875,1867,Nonforest,Bad_data
104.052625,22.640125,1880,Nonforest,
108.480375,14.635125,1881,Nonforest,
103.185125,20.929875,1882,Nonforest,
108.502375,11.370625,1887,Nonforest,
102.857125,22.002875,1888,Nonforest,
107.942125,13.263375,1905,Nonforest,
104.740375,18.946375,1928,Nonforest,
105.621875,19.962375,1941,Nonforest,
107.453375,10.507125,1945,Nonforest,
107.876375,11.582375,1946,Nonforest,
107.672375,12.639875,1948,Nonforest,
105.752125,10.822375,1958,Nonforest,
106.773625,11.915125,1965,Nonforest,
105.970875,20.426875,1974,Nonforest,
108.300125,11.335625,1986,Nonforest,
107.739125,15.730875,1989,Nonforest,
103.565375,21.170375,1991,Nonforest,
107.773125,12.083625,1995,Nonforest,
107.229375,15.750875,2013,Nonforest,
108.149125,11.255125,2031,Nonforest,
106.329125,18.063875,2032,Nonforest,
105.357625,21.411125,2042,Nonforest,
104.915375,10.415625,2046,Nonforest,
104.994625,22.154625,2049,Nonforest,
108.815875,13.033875,2052,Nonforest,
106.145875,9.988625,2053,Nonforest,
106.260125,20.661125,2055,Nonforest,
105.705875,10.948125,2071,Nonforest,
105.348625,19.040375,2087,Nonforest,
108.687375,14.248875,2099,Nonforest,
105.279375,10.071875,2117,Nonforest,
108.099875,15.400625,2133,Nonforest,
104.477125,21.250125,2142,Nonforest,
105.205125,23.236125,2159,Nonforest,
106.212625,21.669125,2164,Nonforest,
108.363875,13.661375,2167,Nonforest,
104.720125,10.362125,2169,Nonforest,
105.586375,9.582875,2183,Nonforest,
104.595625,21.723125,2206,Nonforest,
105.538125,9.880875,2232,Nonforest,
105.862125,19.963375,2246,Nonforest,
106.744875,21.586625,2257,Nonforest,
106.841625,10.907375,2264,Nonforest,
106.229875,10.434125,2266,Nonforest,
105.472875,22.968125,2270,Nonforest,
107.279125,16.307625,2278,Nonforest,
107.995125,14.651125,2288,Nonforest,
103.308625,21.240125,2292,Nonforest,
108.735625,15.178625,2293,Nonforest,
105.809875,21.468375,2298,Nonforest,
106.187375,10.418375,2304,Nonforest,
105.295875,18.841375,2306,Nonforest,
107.929125,12.750375,2313,Nonforest,
107.173875,11.169375,2319,Nonforest,
106.110625,9.808125,2347,Nonforest,
103.386125,21.368625,2373,Nonforest,
102.622875,22.098375,2374,Nonforest,
105.467125,9.541875,2377,Nonforest,
107.527125,14.984125,2380,Nonforest,
107.520125,11.876375,2386,Nonforest,
103.965125,21.874625,2407,Nonforest,
106.320625,10.813875,2418,Nonforest,
105.054375,20.636375,2427,Nonforest,
104.862375,22.061125,2429,Nonforest,
108.764375,13.522625,2433,Nonforest,
108.906375,11.843375,2434,Nonforest,
104.955875,21.499875,2437,Nonforest,
104.030625,21.291625,2453,Nonforest,
105.415375,22.397125,2472,Nonforest,
105.395125,20.951375,2477,Nonforest,
105.420375,20.976625,2492,Nonforest,
107.227875,10.630625,2497,Nonforest,
104.475875,22.411625,2499,Nonforest,
105.187875,18.676625,2503,Nonforest,
108.044125,12.467875,2517,Nonforest,
104.959375,9.851875,2522,Nonforest,
106.237375,17.546875,2534,Nonforest,
107.907625,14.098875,2537,Nonforest,
107.267375,10.527125,2540,Nonforest,
107.416125,14.338125,2547,Nonforest,
105.754875,18.532375,2564,Nonforest,
107.192375,16.752875,2581,Nonforest,
103.201125,21.009625,2585,Nonforest,Bad_data
105.398625,21.737625,2592,Nonforest,
105.105125,9.459875,2594,Nonforest,
105.078375,9.434625,2601,Nonforest,
103.863125,21.924875,2604,Nonforest,
105.859375,21.237875,2616,Nonforest,
105.303625,20.844375,2629,Nonforest,
104.654125,21.583375,2637,Nonforest,
106.180125,21.316875,2639,Nonforest,
104.578875,20.813375,2661,Nonforest,
105.466375,10.943375,2663,Nonforest,
108.132375,13.179375,2665,Nonforest,
104.294875,22.677125,2666,Nonforest,
104.448875,22.530625,2706,Nonforest,
107.535125,15.693625,2715,Nonforest,
107.239875,15.788375,2735,Nonforest,
106.024625,9.897875,2745,Nonforest,
104.519125,22.439125,2754,Nonforest,
106.230625,22.897375,2776,Nonforest,
106.064625,21.102375,2780,Nonforest,
106.301875,20.697375,2783,Nonforest,
108.253375,13.620375,2801,Nonforest,
107.134375,10.954625,2802,Nonforest,
107.621125,21.380375,2815,Nonforest,
105.746125,10.000625,2822,Nonforest,
108.120875,13.758875,2829,Nonforest,
104.930375,22.095875,2854,Nonforest,
106.063125,21.194375,2867,Nonforest,
106.096375,17.787125,2883,Nonforest,
105.609625,10.011625,2889,Nonforest,
105.108875,22.208375,2893,Nonforest,
105.342875,9.293625,2903,Nonforest,
106.344375,10.835875,2906,Nonforest,
105.780875,10.563625,2922,Nonforest,
109.001125,11.713125,2923,Nonforest,
105.320625,22.646125,2931,Nonforest,
107.268375,11.164375,2948,Nonforest,
105.863375,10.556375,2951,Nonforest,
105.360875,22.696125,2959,Nonforest,
105.600625,10.516125,2965,Nonforest,
104.967375,21.781625,2974,Nonforest,
107.811125,12.693625,2991,Nonforest,
107.187625,11.355125,3000,Nonforest,
